title,year,duration,genre,rating,movie_url
"Monsters, Inc. ",2001,1h 32min,Animation,8.0,https://www.imdb.com/title/tt0198781/
Aladdin ,1992,1h 30min,Animation,8.0,https://www.imdb.com/title/tt0103639/
The Terminator ,1984,1h 47min,Action,8.0,https://www.imdb.com/title/tt0088247/
Before Sunset ,2004,1h 20min,Drama,8.0,https://www.imdb.com/title/tt0381681/
The Passion of Joan of Arc ,1928,1h 54min,Biography,8.1,https://www.imdb.com/title/tt0019254/
Mr. Smith Goes to Washington ,1939,2h 9min,Comedy,8.1,https://www.imdb.com/title/tt0031679/
The General ,1926,1h 7min,Action,8.1,https://www.imdb.com/title/tt0017925/
The Third Man ,1949,1h 33min,Film-Noir,8.1,https://www.imdb.com/title/tt0041959/
Gone with the Wind ,1939,3h 58min,Drama,8.1,https://www.imdb.com/title/tt0031381/
It Happened One Night ,1934,1h 45min,Comedy,8.1,https://www.imdb.com/title/tt0025316/
Rebecca ,1940,2h 10min,Drama,8.1,https://www.imdb.com/title/tt0032976/
The Wages of Fear ,1953,2h 11min,Adventure,8.1,https://www.imdb.com/title/tt0046268/
Ace in the Hole ,1951,1h 51min,Drama,8.1,https://www.imdb.com/title/tt0043338/
On the Waterfront ,1954,1h 48min,Crime,8.1,https://www.imdb.com/title/tt0047296/
The Bridge on the River Kwai ,1957,2h 41min,Adventure,8.1,https://www.imdb.com/title/tt0050212/
Barry Lyndon ,1975,3h 5min,Adventure,8.1,https://www.imdb.com/title/tt0072684/
Ben-Hur ,1959,3h 32min,Adventure,8.1,https://www.imdb.com/title/tt0052618/
Network ,1976,2h 1min,Drama,8.1,https://www.imdb.com/title/tt0074958/
The 400 Blows ,1959,1h 39min,Crime,8.1,https://www.imdb.com/title/tt0053198/
Persona ,1966,1h 23min,Drama,8.1,https://www.imdb.com/title/tt0060827/
Andrei Rublev ,1966,3h 25min,Biography,8.1,https://www.imdb.com/title/tt0060107/
Cool Hand Luke ,1967,2h 7min,Crime,8.1,https://www.imdb.com/title/tt0061512/
Rocky ,1976,2h,Drama,8.1,https://www.imdb.com/title/tt0075148/
Fanny and Alexander ,1982,3h 8min,Drama,8.1,https://www.imdb.com/title/tt0083922/
Monty Python's Life of Brian ,1979,1h 34min,Comedy,8.1,https://www.imdb.com/title/tt0079470/
The Thing ,1982,1h 49min,Horror,8.1,https://www.imdb.com/title/tt0084787/
The Deer Hunter ,1978,3h 3min,Drama,8.1,https://www.imdb.com/title/tt0077416/
The Elephant Man ,1980,2h 4min,Biography,8.1,https://www.imdb.com/title/tt0080678/
